num_pre,file_order,T1,L1,B1,R1,time_pre,num_post,T2,L2,B2,R2,time_post
Question 1,Q15,H,C,C,O,8000,Question 4,H,C,C,O,8000
Result 1,R15,H,N,,O,14821,Result 4,H,N,C,O,9840
Question 2,Q19,C,H,-,N,8000,Question 11,C,H,-,N,8000
Result 2,R19,C,C,,N,27758,Result 11,C,H,,N,9841
Question 3,Q7,N,-,N,N,8000,Question 9,N,-,N,N,8000
Result 3,R7,O,,O,O,10520,Result 9,N,,O,O,9440
Question 4,Q2,C,-,C,N,4000,Question 1,C,-,C,N,4000
Result 4,R2,C,,C,C,8720,Result 1,C,,C,O,10678
Question 5,Q21,C,H,H,H,8000,Question 8,C,H,H,H,8000
Result 5,R21,C,H,H,H,8241,Result 8,C,H,C,H,13081
Question 6,Q3,C,-,C,N,8000,Question 17,C,-,C,N,8000
Result 6,R3,H,,C,N,12440,Result 17,C,,C,O,10000
Question 7,Q5,C,-,C,O,8000,Question 5,C,-,C,O,8000
Result 7,R5,N,,N,O,16120,Result 5,N,,N,O,9880
Question 8,Q17,H,C,H,C,8000,Question 15,H,C,H,C,8000
Result 8,R17,H,C,H,C,12641,Result 15,H,C,H,C,11000
Question 9,Q6,N,-,N,N,4000,Question 26,N,-,N,N,4000
Result 9,R6,N,N,N,N,21838,Result 26,N,,O,O,5199
Question 10,Q16,H,C,H,C,4000,Question 24,H,C,H,C,4000
Result 10,R16,H,C,H,C,29000,Result 24,H,C,H,C,5442
Question 11,Q18,C,H,-,N,4000,Question 10,C,H,-,N,4000
Result 11,R18,C,H,,O,8760,Result 10,C,H,,N,7159
Question 12,Q12,H,C,C,C,4000,Question 2,H,C,C,C,4000
Result 12,R12,H,,C,C,5960,Result 2,H,,C,C,8401
Question 13,Q14,H,C,C,O,4000,Question 20,H,C,C,O,4000
Result 13,R14,H,N,C,O,8401,Result 20,H,C,C,O,9361
Question 14,Q23,C,H,N,H,8000,Question 21,C,H,N,H,8000
Result 14,R23,C,H,N,H,8480,Result 21,C,H,O,H,15320
Question 15,Q8,C,-,N,O,4000,Question 25,C,-,N,O,4000
Result 15,R8,C,,O,O,6559,Result 25,C,,O,O,5759
Question 16,Q27,H,N,C,C,4000,Question 18,H,N,C,C,4000
Result 16,R27,C,C,C,C,12642,Result 18,H,N,C,C,7642
Question 17,Q13,H,C,C,C,8000,Question 28,H,C,C,C,8000
Result 17,R13,H,C,C,C,9399,Result 28,H,C,C,C,9239
Question 18,Q9,C,-,N,O,8000,Question 16,C,-,N,O,8000
Result 18,R9,C,,N,O,10081,Result 16,C,,O,O,8721
Question 19,Q26,H,N,C,C,4000,Question 6,H,N,C,C,4000
Result 19,R26,H,C,C,C,10320,Result 6,H,C,N,N,10440
Question 20,Q4,C,-,C,O,4000,Question 14,C,-,C,O,4000
Result 20,R4,C,,C,N,9641,Result 14,N,,N,O,8160
Question 21,Q24,C,H,O,H,4000,Question 19,C,H,O,H,4000
Result 21,R24,C,H,C,H,7600,Result 19,C,H,C,H,5478
Question 22,Q22,C,H,N,H,4000,Question 23,C,H,N,H,4000
Result 22,R22,C,H,N,H,10119,Result 23,C,H,O,H,6759
Question 23,Q25,C,H,O,H,8000,Question 27,C,H,O,H,8000
Result 23,R25,C,H,O,H,9921,Result 27,N,H,O,H,11201
Question 24,Q11,O,C,-,O,8000,Question 12,O,C,-,O,8000
Result 24,R11,O,C,,O,11040,Result 12,O,C,,O,9281
Question 25,Q20,C,H,H,H,4000,Question 22,C,H,H,H,4000
Result 25,R20,C,H,C,H,9720,Result 22,C,H,H,H,6321
Question 26,Q0,C,C,C,C,4000,Question 3,C,C,C,C,4000
Result 26,R0,N,N,N,N,6320,Result 3,C,N,C,N,9401
Question 27,Q1,C,C,C,C,8000,Question 7,C,C,C,C,8000
Result 27,R1,C,C,C,C,12482,Result 7,N,N,N,N,13759
Question 28,Q10,O,C,-,O,4000,Question 13,O,C,-,O,4000
Result 28,R10,O,C,,O,8398,Result 13,O,N,,O,8320
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
