num_pre,file_order,T1,L1,B1,R1,time_pre
Question 1,Q10,O,C,-,O,4000
Result 1,R10,O,C,,O,13940
Question 2,Q16,H,C,H,C,4000
Result 2,R16,H,C,H,C,24397
Question 3,Q23,C,H,N,H,8000
Result 3,R23,C,H,N,H,19440
Question 4,Q19,C,H,-,N,8000
Result 4,R19,C,H,,N,12960
Question 5,Q18,C,H,-,N,4000
Result 5,R18,C,H,,N,8521
Question 6,Q17,H,C,H,C,8000
Result 6,R17,H,C,H,C,13485
Question 7,Q0,H,C,C,C,4000
Result 7,R0,,,,,17155
Question 8,Q2,C,-,C,N,4000
Result 8,R2,,,,,161
Question 9,Q6,N,-,N,N,4000
Result 9,R6,,,,,160
Question 10,Q15,H,C,C,O,8000
Result 10,R15,,,,,159
Question 11,Q12,H,C,C,C,4000
Result 11,R12,,,,,159
Question 12,Q26,H,N,C,C,4000
Result 12,R26,,,,,200
Question 13,Q8,C,-,N,O,4000
Result 13,R8,,,,,120
Question 14,Q3,C,-,C,N,8000
Result 14,R3,,,,,161
Question 15,Q5,C,-,C,O,8000
Result 15,R5,,,,,159
Question 16,Q24,C,H,O,H,4000
Result 16,R24,,,,,161
Question 17,Q20,C,H,H,H,4000
Result 17,R20,,,,,198
Question 18,Q14,H,C,C,O,4000
Result 18,R14,,,,,200
Question 19,Q11,O,C,-,O,8000
Result 19,R11,,,,,160
Question 20,Q27,H,N,C,C,4000
Result 20,R27,,,,,160
Question 21,Q4,C,-,C,O,4000
Result 21,R4,,,,,241
Question 22,Q7,N,-,N,N,8000
Result 22,R7,,,,,200
Question 23,Q9,C,-,N,O,8000
Result 23,R9,,,,,239
Question 24,Q25,C,H,O,H,8000
Result 24,R25,,,,,202
Question 25,Q22,C,H,N,H,4000
Result 25,R22,,,,,201
Question 26,Q21,C,H,H,H,8000
Result 26,R21,,,,,397
Question 27,Q1,H,C,C,C,8000
Result 27,R1,,,,,401
Question 28,Q13,H,C,C,C,8000
Result 28,R13,,,,,919
