num_pre,file_order,T1,L1,B1,R1,time_pre,num_post,T2,L2,B2,R2,time_post
Question 1,Q13,H,C,C,C,8000,Question 27,H,C,C,C,8000
Result 1,R13,C,C,,C,21019,Result 27,C,H,C,C,5520
Question 2,Q8,C,-,N,O,4000,Question 16,C,-,N,O,4000
Result 2,R8,O,,O,O,9446,Result 16,,C,O,O,7600
Question 3,Q6,N,-,N,N,4000,Question 23,N,-,N,N,4000
Result 3,R6,N,,N,N,13041,Result 23,O,,O,O,4561
Question 4,Q2,C,-,C,N,4000,Question 10,C,-,C,N,4000
Result 4,R2,O,,N,,17079,Result 10,C,,C,N,6680
Question 5,Q22,C,H,N,H,4000,Question 22,C,H,N,H,4000
Result 5,R22,C,H,O,H,10722,Result 22,C,H,O,H,7198
Question 6,Q16,H,C,H,C,4000,Question 7,H,C,H,C,4000
Result 6,R16,H,H,H,H,6679,Result 7,H,C,H,C,7640
Question 7,Q0,C,C,C,C,4000,Question 15,C,C,C,C,4000
Result 7,R0,C,C,C,C,7920,Result 15,,C,C,C,6841
Question 8,Q19,C,H,-,N,8000,Question 18,C,H,-,N,8000
Result 8,R19,O,H,O,O,15399,Result 18,C,H,,O,6480
Question 9,Q21,C,H,H,H,8000,Question 3,C,H,H,H,8000
Result 9,R21,H,H,H,H,9841,Result 3,C,H,H,H,6400
Question 10,Q25,C,H,O,H,8000,Question 24,C,H,O,H,8000
Result 10,R25,C,H,O,H,10960,Result 24,C,H,O,H,4759
Question 11,Q17,H,C,H,C,8000,Question 13,H,C,H,C,8000
Result 11,R17,H,N,N,H,7320,Result 13,H,C,H,C,8121
Question 12,Q27,H,N,C,C,4000,Question 5,H,N,C,C,4000
Result 12,R27,H,O,H,N,5960,Result 5,H,C,N,N,8720
Question 13,Q9,C,-,N,O,8000,Question 12,C,-,N,O,8000
Result 13,R9,C,,O,O,10081,Result 12,C,,O,O,9000
Question 14,Q20,C,H,H,H,4000,Question 21,C,H,H,H,4000
Result 14,R20,C,H,H,H,5922,Result 21,C,H,H,H,5442
Question 15,Q23,C,H,N,H,8000,Question 20,C,H,N,H,8000
Result 15,R23,N,H,O,H,8518,Result 20,C,H,N,H,10680
Question 16,Q10,O,C,-,O,4000,Question 2,O,C,-,O,4000
Result 16,R10,,O,O,O,6881,Result 2,O,C,O,O,6760
Question 17,Q1,C,C,C,C,8000,Question 9,C,C,C,C,8000
Result 17,R1,H,H,H,H,7159,Result 9,C,C,C,C,6480
Question 18,Q3,C,-,C,N,8000,Question 19,C,-,C,N,8000
Result 18,R3,O,,O,C,9201,Result 19,C,,C,O,8801
Question 19,Q24,C,H,O,H,4000,Question 17,C,H,O,H,4000
Result 19,R24,C,H,C,H,8239,Result 17,C,H,C,H,9040
Question 20,Q12,H,C,C,C,4000,Question 11,H,C,C,C,4000
Result 20,R12,H,H,N,H,8283,Result 11,H,C,C,C,6080
Question 21,Q5,C,-,C,O,8000,Question 8,C,-,C,O,8000
Result 21,R5,C,,C,O,5918,Result 8,C,,C,O,9040
Question 22,Q7,N,-,N,N,8000,Question 6,N,-,N,N,8000
Result 22,R7,H,,H,H,14040,Result 6,O,,O,O,7800
Question 23,Q26,H,N,C,C,4000,Question 26,H,N,C,C,4000
Result 23,R26,H,O,O,C,9680,Result 26,H,O,H,C,11721
Question 24,Q15,H,C,C,O,8000,Question 28,H,C,C,O,8000
Result 24,R15,H,H,H,O,7281,Result 28,H,H,H,O,5199
Question 25,Q11,O,C,-,O,8000,Question 25,O,C,-,O,8000
Result 25,R11,O,C,,O,6880,Result 25,O,N,,O,7680
Question 26,Q4,C,-,C,O,4000,Question 4,C,-,C,O,4000
Result 26,R4,,,H,O,5079,Result 4,C,,C,O,8601
Question 27,Q18,C,H,-,N,4000,Question 14,C,H,-,N,4000
Result 27,R18,H,H,,C,5521,Result 14,,H,,O,5559
Question 28,Q14,H,C,C,O,4000,Question 1,H,C,C,O,4000
Result 28,R14,H,C,C,O,6679,Result 1,H,C,N,O,12960
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
