num_pre,file_order,T1,L1,B1,R1,time_pre
Question 1,Q20,C,H,H,H,4000
Result 1,R20,C,H,H,N,51721
Question 2,Q9,C,-,N,O,8000
Result 2,R9,C,,N,O,8759
Question 3,Q4,C,-,C,O,4000
Result 3,R4,,,N,O,9120
Question 4,Q3,C,-,C,N,8000
Result 4,R3,,,,,51320
Question 5,Q5,C,-,C,O,8000
Result 5,R5,C,,C,O,11564
Question 6,Q10,O,C,-,O,4000
Result 6,R10,,C,,N,43678
Question 7,Q12,H,C,C,C,4000
Result 7,R12,C,,C,,56904
Question 8,Q0,C,C,C,C,4000
Result 8,R0,C,C,C,C,5518
Question 9,Q2,C,-,C,N,4000
Result 9,R2,C,,C,N,12121
Question 10,Q27,H,N,C,C,4000
Result 10,R27,H,N,C,C,5601
Question 11,Q23,C,H,N,H,8000
Result 11,R23,H,H,N,H,8600
Question 12,Q22,C,H,N,H,4000
Result 12,R22,H,H,N,H,15879
Question 13,Q19,C,H,-,N,8000
Result 13,R19,C,H,,N,18403
Question 14,Q14,H,C,C,O,4000
Result 14,R14,H,C,C,O,60959
Question 15,Q26,H,N,C,C,4000
Result 15,R26,H,N,C,C,17361
Question 16,Q6,N,-,N,N,4000
Result 16,R6,N,N,N,N,7960
Question 17,Q13,H,C,C,C,8000
Result 17,R13,,,,,
