num_pre,file_order,T1,L1,B1,R1,time_pre,num_post,T2,L2,B2,R2,time_post
Question 1,Q25,C,H,O,H,8000,,,,,,
Result 1,R25,C,C,N,O,10177,,,,,,
Question 2,Q9,C,-,N,O,8000,Question 1,C,-,N,O,8000
Result 2,R9,C,C,O,N,12321,Result 1,C,,O,,11043
Question 3,Q20,C,H,H,H,4000,,,,,,
Result 3,R20,,,,,1240,,,,,,
Question 4,Q19,C,H,-,N,8000,,,,,,
Result 4,R19,,,,,8758,,,,,,
Question 5,Q23,C,H,N,H,8000,,,,,,
Result 5,R23,,,,,362,,,,,,
Question 6,Q14,H,C,C,O,4000,,,,,,
Result 6,R14,,,,,164,,,,,,
Question 7,Q22,C,H,N,H,4000,,,,,,
Result 7,R22,,,,,156,,,,,,
Question 8,Q2,C,-,C,N,4000,,,,,,
Result 8,R2,,,,,200,,,,,,
Question 9,Q8,C,-,N,O,4000,,,,,,
Result 9,R8,,,,,160,,,,,,
Question 10,Q6,N,-,N,N,4000,,,,,,
Result 10,R6,,,,,160,,,,,,
Question 11,Q13,H,C,C,C,8000,,,,,,
Result 11,R13,,,,,159,,,,,,
Question 12,Q21,C,H,H,H,8000,,,,,,
Result 12,R21,,,,,159,,,,,,
Question 13,Q5,C,-,C,O,8000,,,,,,
Result 13,R5,,,,,200,,,,,,
Question 14,Q27,H,N,C,C,4000,,,,,,
Result 14,R27,,,,,1001,,,,,,
Question 15,Q1,H,C,C,C,8000,,,,,,
Result 15,R1,,,,,959,,,,,,
Question 16,Q17,H,C,H,C,8000,,,,,,
Result 16,R17,,,,,1200,,,,,,
Question 17,Q3,C,-,C,N,8000,,,,,,
Result 17,R3,,,,,1201,,,,,,
Question 18,Q7,N,-,N,N,8000,,,,,,
Result 18,R7,,,,,1400,,,,,,
Question 19,Q24,C,H,O,H,4000,,,,,,
Result 19,R24,,,,,1120,,,,,,
Question 20,Q18,C,H,-,N,4000,,,,,,
Result 20,R18,,,,,1079,,,,,,
Question 21,Q12,H,C,C,C,4000,Question 2,H,C,C,C,4000
Result 21,R12,,,,,880,Result 2,H,C,,,6919
Question 22,Q16,H,C,H,C,4000,Question 3,H,C,H,C,4000
Result 22,R16,,,,,521,Result 3,,,,,
Question 23,Q11,O,C,-,O,8000,,,,,,
Result 23,R11,,,,,318,,,,,,
Question 24,Q0,H,C,C,C,4000,,,,,,
Result 24,R0,,,,,361,,,,,,
Question 25,Q10,O,C,-,O,4000,,,,,,
Result 25,R10,,,,,600,,,,,,
Question 26,Q15,H,C,C,O,8000,,,,,,
Result 26,R15,,,,,2160,,,,,,
Question 27,Q4,C,-,C,O,4000,,,,,,
Result 27,R4,,,,,1921,,,,,,
Question 28,Q26,H,N,C,C,4000,,,,,,
Result 28,R26,,,,,2518,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
