num_pre,file_order,T1,L1,B1,R1,time_pre,num_post,T2,L2,B2,R2,time_post
Question 1,Q20,C,H,H,H,4000,Question 9,C,H,H,H,4000
Result 1,R20,N,H,O,H,93788,Result 9,C,H,C,H,7480
Question 2,Q6,N,-,N,N,4000,Question 10,N,-,N,N,4000
Result 2,R6,N,,O,O,16834,Result 10,O,,O,O,6640
Question 3,Q21,C,H,H,H,8000,Question 16,C,H,H,H,8000
Result 3,R21,C,H,N,H,38759,Result 16,C,H,H,H,7680
Question 4,Q12,H,C,C,C,4000,Question 2,H,C,C,C,4000
Result 4,R12,H,O,O,N,13606,Result 2,H,N,C,N,10079
Question 5,Q10,O,C,-,O,4000,Question 19,O,C,-,O,4000
Result 5,R10,,O,N,O,30756,Result 19,,N,,O,6960
Question 6,Q27,H,N,C,C,4000,Question 25,H,N,C,C,4000
Result 6,R27,H,C,O,N,24880,Result 25,H,C,O,N,11480
Question 7,Q11,O,C,-,O,8000,Question 8,O,C,-,O,8000
Result 7,R11,O,N,,O,16760,Result 8,O,N,,O,10920
Question 8,Q22,C,H,N,H,4000,Question 17,C,H,N,H,4000
Result 8,R22,N,H,O,O,17960,Result 17,O,C,N,C,9040
Question 9,Q7,N,-,N,N,8000,Question 22,N,-,N,N,8000
Result 9,R7,N,,N,N,12521,Result 22,C,,O,O,7799
Question 10,Q24,C,H,O,H,4000,Question 6,C,H,O,H,4000
Result 10,R24,N,H,C,H,8040,Result 6,C,H,C,N,8480
Question 11,Q18,C,H,-,N,4000,Question 24,C,H,-,N,4000
Result 11,R18,,H,N,O,6880,Result 24,C,H,N,N,8521
Question 12,Q1,C,C,C,C,8000,Question 15,C,C,C,C,8000
Result 12,R1,C,C,C,C,9440,Result 15,C,C,C,C,7161
Question 13,Q13,H,C,C,C,8000,Question 3,H,C,C,C,8000
Result 13,R13,C,N,N,N,9720,Result 3,C,N,C,N,18961
Question 14,Q23,C,H,N,H,8000,Question 7,C,H,N,H,8000
Result 14,R23,C,H,C,N,11082,Result 7,N,H,O,H,12040
Question 15,Q26,H,N,C,C,4000,Question 14,H,N,C,C,4000
Result 15,R26,H,C,O,O,10719,Result 14,H,C,O,N,10880
Question 16,Q2,C,-,C,N,4000,Question 28,C,-,C,N,4000
Result 16,R2,N,,C,O,12881,Result 28,C,,C,O,10359
Question 17,Q0,C,C,C,C,4000,Question 1,C,C,C,C,4000
Result 17,R0,H,H,C,C,8559,Result 1,C,N,N,C,20402
Question 18,Q9,C,-,N,O,8000,Question 23,C,-,N,O,8000
Result 18,R9,C,,O,O,7320,Result 23,C,,O,O,9401
Question 19,Q3,C,-,C,N,8000,Question 18,C,-,C,N,8000
Result 19,R3,C,,C,O,9401,Result 18,N,,N,O,8321
Question 20,Q19,C,H,-,N,8000,Question 21,C,H,-,N,8000
Result 20,R19,C,H,,N,6000,Result 21,C,H,,O,10400
Question 21,Q15,H,C,C,O,8000,Question 5,H,C,C,O,8000
Result 21,R15,C,C,N,O,10158,Result 5,N,C,N,O,12881
Question 22,Q5,C,-,C,O,8000,Question 11,C,-,C,O,8000
Result 22,R5,C,,C,O,9681,Result 11,C,,C,O,9401
Question 23,Q14,H,C,C,O,4000,Question 27,H,C,C,O,4000
Result 23,R14,H,C,N,O,6440,Result 27,H,C,O,O,6919
Question 24,Q4,C,-,C,O,4000,Question 12,C,-,C,O,4000
Result 24,R4,,,N,O,5960,Result 12,C,,C,O,7280
Question 25,Q17,H,C,H,C,8000,Question 20,H,C,H,C,8000
Result 25,R17,H,H,,C,9400,Result 20,H,C,C,C,10800
Question 26,Q25,C,H,O,H,8000,Question 13,C,H,O,H,8000
Result 26,R25,H,H,O,H,10801,Result 13,N,H,O,H,8919
Question 27,Q16,H,C,H,C,4000,Question 4,H,C,H,C,4000
Result 27,R16,H,C,H,C,8760,Result 4,H,C,N,C,12598
Question 28,Q8,C,-,N,O,4000,Question 26,C,-,N,O,4000
Result 28,R8,C,,O,O,7959,Result 26,C,,O,O,5561
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
