num_pre,file_order,T1,L1,B1,R1,time_pre,num_post,T2,L2,B2,R2,time_post
Question 1,Q22,C,H,N,H,4000,Question 10,C,H,N,H,4000
Result 1,R22,C,H,,N,24180,Result 10,C,H,N,H,6081
Question 2,Q26,H,N,C,C,4000,Question 11,H,N,C,C,4000
Result 2,R26,H,N,,N,15561,Result 11,N,N,C,N,7199
Question 3,Q4,C,-,C,O,4000,Question 20,C,-,C,O,4000
Result 3,R4,,,N,O,11366,Result 20,C,,C,O,6879
Question 4,Q5,C,-,C,O,8000,Question 28,C,-,C,O,8000
Result 4,R5,N,,N,O,17475,Result 28,C,,C,N,5879
Question 5,Q0,C,C,C,C,4000,Question 2,C,C,C,C,4000
Result 5,R0,,C,C,C,13199,Result 2,,C,C,C,8800
Question 6,Q8,C,-,N,O,4000,Question 14,C,-,N,O,4000
Result 6,R8,N,,H,O,12400,Result 14,H,,N,O,5921
Question 7,Q21,C,H,H,H,8000,Question 23,C,H,H,H,8000
Result 7,R21,,H,H,H,8161,Result 23,C,H,H,H,6958
Question 8,Q19,C,H,-,N,8000,Question 8,C,H,-,N,8000
Result 8,R19,H,H,,C,10121,Result 8,C,C,C,H,8962
Question 9,Q16,H,C,H,C,4000,Question 26,H,C,H,C,4000
Result 9,R16,H,H,H,H,32799,Result 26,N,H,C,H,6800
Question 10,Q27,H,N,C,C,4000,Question 19,H,N,C,C,4000
Result 10,R27,H,N,C,H,9520,Result 19,H,N,C,H,10361
Question 11,Q10,O,C,-,O,4000,Question 1,O,C,-,O,4000
Result 11,R10,,C,,O,15481,Result 1,O,C,N,H,18679
Question 12,Q14,H,C,C,O,4000,Question 17,H,C,C,O,4000
Result 12,R14,C,N,N,O,10201,Result 17,H,C,C,N,8321
Question 13,Q1,C,C,C,C,8000,Question 6,C,C,C,C,8000
Result 13,R1,C,C,C,C,12479,Result 6,H,H,H,H,10800
Question 14,Q2,C,-,C,N,4000,Question 4,C,-,C,N,4000
Result 14,R2,,,N,C,10320,Result 4,O,,C,N,7200
Question 15,Q17,H,C,H,C,8000,Question 27,H,C,H,C,8000
Result 15,R17,H,C,H,C,19400,Result 27,N,H,H,H,8959
Question 16,Q24,C,H,O,H,4000,Question 22,C,H,O,H,4000
Result 16,R24,H,N,H,C,25682,Result 22,N,H,H,C,6721
Question 17,Q9,C,-,N,O,8000,Question 18,C,-,N,O,8000
Result 17,R9,C,,N,O,11162,Result 18,H,,C,O,13599
Question 18,Q13,H,C,C,C,8000,Question 15,H,C,C,C,8000
Result 18,R13,H,H,H,H,9559,Result 15,H,H,C,C,11040
Question 19,Q25,C,H,O,H,8000,Question 3,C,H,O,H,8000
Result 19,R25,H,H,N,H,9760,Result 3,C,C,O,C,12721
Question 20,Q6,N,-,N,N,4000,Question 13,N,-,N,N,4000
Result 20,R6,C,,C,,6999,Result 13,O,,C,C,12160
Question 21,Q7,N,-,N,N,8000,Question 12,N,-,N,N,8000
Result 21,R7,C,,C,C,10401,Result 12,N,,N,N,17041
Question 22,Q15,H,C,C,O,8000,Question 5,H,C,C,O,8000
Result 22,R15,,,,,19040,Result 5,,,,,16680
Question 23,Q12,H,C,C,C,4000,Question 7,H,C,C,C,4000
Result 23,R12,H,,H,H,10320,Result 7,C,C,C,C,8160
Question 24,Q11,O,C,-,O,8000,Question 25,O,C,-,O,8000
Result 24,R11,O,C,,O,11080,Result 25,O,H,,O,8681
Question 25,Q20,C,H,H,H,4000,Question 21,C,H,H,H,4000
Result 25,R20,C,H,H,H,7720,Result 21,C,H,H,O,9040
Question 26,Q18,C,H,-,N,4000,Question 9,C,H,-,N,4000
Result 26,R18,,H,,N,14441,Result 9,,H,,C,5398
Question 27,Q3,C,-,C,N,8000,Question 24,C,-,C,N,8000
Result 27,R3,C,,C,N,9399,Result 24,C,,C,N,13041
Question 28,Q23,C,H,N,H,8000,Question 16,C,H,N,H,8000
Result 28,R23,C,N,C,N,11000,Result 16,H,H,C,H,8919
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
