num_pre,file_order,T1,L1,B1,R1,time_pre
Question 1,Q15,H,C,C,O,8000
Result 1,R15,H,N,N,O,27558
Question 2,Q11,O,C,-,O,8000
Result 2,R11,C,N,,O,178918
Question 3,Q21,C,H,H,H,8000
Result 3,R21,C,H,C,H,15605
Question 4,Q2,C,-,C,N,4000
Result 4,R2,N,,C,N,16396
Question 5,Q3,C,-,C,N,8000
Result 5,R3,,,,,359
Question 6,Q5,C,-,C,O,8000
Result 6,R5,N,,N,O,13160
Question 7,Q22,C,H,N,H,4000
Result 7,R22,C,H,C,H,12042
Question 8,Q7,N,-,N,N,8000
Result 8,R7,C,,N,N,16839
Question 9,Q25,C,H,O,H,8000
Result 9,R25,C,H,O,H,14841
Question 10,Q0,C,C,C,C,4000
Result 10,R0,N,C,C,N,21038
Question 11,Q20,C,H,H,H,4000
Result 11,R20,N,H,C,H,11641
Question 12,Q27,H,N,C,C,4000
Result 12,R27,C,N,C,N,16640
Question 13,Q10,O,C,-,O,4000
Result 13,R10,,N,,O,15971
Question 14,Q8,C,-,N,O,4000
Result 14,R8,C,,N,O,12320
Question 15,Q23,C,H,N,H,8000
Result 15,R23,C,H,,H,10521
Question 16,Q13,H,C,C,C,8000
Result 16,R13,C,C,C,N,11520
Question 17,Q1,C,C,C,C,8000
Result 17,R1,N,N,N,C,12160
Question 18,Q26,H,N,C,C,4000
Result 18,R26,H,C,C,N,9960
Question 19,Q14,H,C,C,O,4000
Result 19,R14,H,C,C,N,7361
Question 20,Q16,H,C,H,C,4000
Result 20,R16,C,C,H,C,8640
Question 21,Q17,H,C,H,C,8000
Result 21,R17,H,C,H,C,10681
Question 22,Q6,N,-,N,N,4000
Result 22,R6,N,,O,N,10119
Question 23,Q12,H,C,C,C,4000
Result 23,R12,H,C,C,C,8800
Question 24,Q4,C,-,C,O,4000
Result 24,R4,N,,N,O,8881
Question 25,Q18,C,H,-,N,4000
Result 25,R18,C,H,,O,15640
Question 26,Q19,C,H,-,N,8000
Result 26,R19,C,H,,N,14641
Question 27,Q24,C,H,O,H,4000
Result 27,R24,N,C,N,H,8559
Question 28,Q9,C,-,N,O,8000
Result 28,R9,N,,N,O,9679
