num_pre,file_order,T1,L1,B1,R1,time_pre,num_post,T2,L2,B2,R2,time_post
Question 1,Q14,H,C,C,O,4000,,,,,,
Result 1,R14,H,,,,1367,,,,,,
Question 2,Q13,H,C,C,C,8000,,,,,,
Result 2,R13,N,,,,799,,,,,,
Question 3,Q23,C,H,N,H,8000,,,,,,
Result 3,R23,,,,C,684,,,,,,
Question 4,Q20,C,H,H,H,4000,,,,,,
Result 4,R20,,,C,,755,,,,,,
Question 5,Q0,H,C,C,C,4000,Question 7,H,C,C,C,4000
Result 5,R0,,C,,,644,Result 7,,,,,
Question 6,Q10,O,C,-,O,4000,Question 1,O,C,-,O,4000
Result 6,R10,,,,N,884,Result 1,C,,,,1319
Question 7,Q26,H,N,C,C,4000,,,,,,
Result 7,R26,,,,O,516,,,,,,
Question 8,Q3,C,-,C,N,8000,,,,,,
Result 8,R3,,,,C,637,,,,,,
Question 9,Q1,H,C,C,C,8000,Question 2,H,C,C,C,8000
Result 9,R1,C,O,N,,2321,Result 2,,O,,,646
Question 10,Q8,C,-,N,O,4000,Question 5,C,-,N,O,4000
Result 10,R8,,N,,O,1520,Result 5,O,,,,722
Question 11,Q2,C,-,C,N,4000,,,,,,
Result 11,R2,C,H,C,,3124,,,,,,
Question 12,Q15,H,C,C,O,8000,,,,,,
Result 12,R15,,H,,,593,,,,,,
Question 13,Q11,O,C,-,O,8000,,,,,,
Result 13,R11,O,,,O,2206,,,,,,
Question 14,Q27,H,N,C,C,4000,,,,,,
Result 14,R27,N,N,,N,2317,,,,,,
Question 15,Q9,C,-,N,O,8000,,,,,,
Result 15,R9,,,N,,718,,,,,,
Question 16,Q19,C,H,-,N,8000,Question 4,C,H,-,N,8000
Result 16,R19,,C,,,722,Result 4,,,N,,757
Question 17,Q7,N,-,N,N,8000,Question 6,N,-,N,N,8000
Result 17,R7,,,,C,682,Result 6,,,,O,640
Question 18,Q6,N,-,N,N,4000,,,,,,
Result 18,R6,O,,,,639,,,,,,
Question 19,Q18,C,H,-,N,4000,,,,,,
Result 19,R18,,H,,,761,,,,,,
Question 20,Q4,C,-,C,O,4000,,,,,,
Result 20,R4,,,C,,679,,,,,,
Question 21,Q25,C,H,O,H,8000,Question 3,C,H,O,H,8000
Result 21,R25,,,,N,916,Result 3,,,,O,678
Question 22,Q22,C,H,N,H,4000,,,,,,
Result 22,R22,N,,,,724,,,,,,
Question 23,Q24,C,H,O,H,4000,,,,,,
Result 23,R24,,O,,,677,,,,,,
Question 24,Q17,H,C,H,C,8000,,,,,,
Result 24,R17,,,C,,846,,,,,,
Question 25,Q12,H,C,C,C,4000,,,,,,
Result 25,R12,O,,,,753,,,,,,
Question 26,Q16,H,C,H,C,4000,,,,,,
Result 26,R16,,,,,1365,,,,,,
Question 27,Q5,C,-,C,O,8000,,,,,,
Result 27,R5,,,,,954,,,,,,
Question 28,Q21,C,H,H,H,8000,,,,,,
Result 28,R21,,,,H,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
