num_pre,file_order,T1,L1,B1,R1,time_pre,num_post,T2,L2,B2,R2,time_post
Question 1,Q16,H,C,H,C,4000,Question 20,H,C,H,C,4000
Result 1,R16,H,,,O,23618,Result 20,H,C,,C,6081
Question 2,Q27,H,N,C,C,4000,Question 24,H,N,C,C,4000
Result 2,R27,H,C,,O,23719,Result 24,H,N,C,C,5760
Question 3,Q5,C,-,C,O,8000,Question 12,C,-,C,O,8000
Result 3,R5,C,,,O,23403,Result 12,C,,C,O,5878
Question 4,Q10,O,C,-,O,4000,Question 17,O,C,-,O,4000
Result 4,R10,,H,,O,23436,Result 17,,C,,O,7681
Question 5,Q13,H,C,C,C,8000,Question 11,H,C,C,C,8000
Result 5,R13,H,C,,C,10845,Result 11,H,C,C,C,6601
Question 6,Q23,C,H,N,H,8000,Question 2,C,H,N,H,8000
Result 6,R23,N,H,,H,14995,Result 2,C,H,N,H,10360
Question 7,Q9,C,-,N,O,8000,Question 8,C,-,N,O,8000
Result 7,R9,,,,,37522,Result 8,C,,N,O,6080
Question 8,Q8,C,-,N,O,4000,Question 16,C,-,N,O,4000
Result 8,R8,C,,N,,9246,Result 16,C,,N,O,5920
Question 9,Q11,O,C,-,O,8000,Question 7,O,C,-,O,8000
Result 9,R11,O,C,,O,19281,Result 7,O,C,,O,5841
Question 10,Q14,H,C,C,O,4000,Question 4,H,C,C,O,4000
Result 10,R14,H,,H,N,9959,Result 4,H,N,,O,6880
Question 11,Q19,C,H,-,N,8000,Question 15,C,H,-,N,8000
Result 11,R19,C,H,,N,10800,Result 15,C,H,,N,7039
Question 12,Q12,H,C,C,C,4000,Question 13,H,C,C,C,4000
Result 12,R12,H,C,,C,7800,Result 13,H,C,,C,5201
Question 13,Q4,C,-,C,O,4000,Question 19,C,-,C,O,4000
Result 13,R4,,,C,O,8441,Result 19,C,,C,O,5160
Question 14,Q6,N,-,N,N,4000,Question 5,N,-,N,N,4000
Result 14,R6,N,,N,N,8119,Result 5,N,,N,N,4959
Question 15,Q25,C,H,O,H,8000,Question 14,C,H,O,H,8000
Result 15,R25,C,H,,H,13560,Result 14,C,H,O,H,8320
Question 16,Q26,H,N,C,C,4000,Question 6,H,N,C,C,4000
Result 16,R26,H,C,,H,9922,Result 6,H,N,C,C,6680
Question 17,Q1,C,C,C,C,8000,Question 21,C,C,C,C,8000
Result 17,R1,C,C,C,C,12639,Result 21,C,C,C,C,6527
Question 18,Q22,C,H,N,H,4000,Question 3,C,H,N,H,4000
Result 18,R22,C,H,N,,8720,Result 3,C,H,N,H,7480
Question 19,Q24,C,H,O,H,4000,Question 18,C,H,O,H,4000
Result 19,R24,,H,C,,9641,Result 18,C,H,C,H,5039
Question 20,Q0,C,C,C,C,4000,Question 27,C,C,C,C,4000
Result 20,R0,C,C,C,C,12441,Result 27,C,C,C,C,7161
Question 21,Q20,C,H,H,H,4000,Question 26,C,H,H,H,4000
Result 21,R20,H,H,C,H,8199,Result 26,C,H,H,H,5799
Question 22,Q15,H,C,C,O,8000,Question 10,H,C,C,O,8000
Result 22,R15,H,C,,O,8960,Result 10,H,C,C,O,8960
Question 23,Q17,H,C,H,C,8000,Question 1,H,C,H,C,8000
Result 23,R17,,N,H,N,10441,Result 1,H,C,H,C,10560
Question 24,Q3,C,-,C,N,8000,Question 23,C,-,C,N,8000
Result 24,R3,C,,C,O,8000,Result 23,C,,C,N,4441
Question 25,Q18,C,H,-,N,4000,Question 9,C,H,-,N,4000
Result 25,R18,C,H,,O,6161,Result 9,C,H,,N,4679
Question 26,Q7,N,-,N,N,8000,Question 28,N,-,N,N,8000
Result 26,R7,O,,O,O,8359,Result 28,N,N,N,N,5958
Question 27,Q2,C,-,C,N,4000,Question 22,C,-,C,N,4000
Result 27,R2,,,C,O,6160,Result 22,C,,C,N,4920
Question 28,Q21,C,H,H,H,8000,Question 25,C,H,H,H,8000
Result 28,R21,C,H,H,H,9159,Result 25,C,H,C,H,12120
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
