num_pre,file_order,T1,L1,B1,R1,time_pre
Question 1,Q13,H,C,C,C,8000
Result 1,R13,H,C,C,C,11778
Question 2,Q18,C,H,-,N,4000
Result 2,R18,C,H,,N,9600
Question 3,Q5,C,-,C,O,8000
Result 3,R5,N,,N,O,8560
Question 4,Q15,H,C,C,O,8000
Result 4,R15,H,C,H,O,9921
Question 5,Q10,O,C,-,O,4000
Result 5,R10,,C,,O,8879
Question 6,Q4,C,-,C,O,4000
Result 6,R4,N,,N,O,7360
Question 7,Q3,C,-,C,N,8000
Result 7,R3,C,,C,N,8600
Question 8,Q27,H,N,C,C,4000
Result 8,R27,H,N,H,,10040
Question 9,Q9,C,-,N,O,8000
Result 9,R9,C,,N,O,8001
Question 10,Q0,C,C,C,C,4000
Result 10,R0,C,C,C,C,9080
Question 11,Q1,C,C,C,C,8000
Result 11,R1,C,C,C,C,8440
Question 12,Q2,C,-,C,N,4000
Result 12,R2,C,,C,O,7480
Question 13,Q17,H,C,H,C,8000
Result 13,R17,H,C,H,C,6361
Question 14,Q16,H,C,H,C,4000
Result 14,R16,H,C,H,C,8160
Question 15,Q26,H,N,C,C,4000
Result 15,R26,H,N,C,C,8199
Question 16,Q8,C,-,N,O,4000
Result 16,R8,N,,O,O,6120
Question 17,Q22,C,H,N,H,4000
Result 17,R22,C,H,N,H,11161
Question 18,Q14,H,C,C,O,4000
Result 18,R14,H,C,C,O,9200
Question 19,Q12,H,C,C,C,4000
Result 19,R12,H,C,C,C,9120
Question 20,Q20,C,H,H,H,4000
Result 20,R20,H,H,H,H,9320
Question 21,Q11,O,C,-,O,8000
Result 21,R11,O,N,,O,7720
Question 22,Q24,C,H,O,H,4000
Result 22,R24,H,H,H,H,8840
Question 23,Q21,C,H,H,H,8000
Result 23,R21,C,H,H,H,9720
Question 24,Q7,N,-,N,N,8000
Result 24,R7,N,,N,N,9200
Question 25,Q19,C,H,-,N,8000
Result 25,R19,C,H,,N,4721
Question 26,Q6,N,-,N,N,4000
Result 26,R6,N,,N,N,7080
Question 27,Q23,C,H,N,H,8000
Result 27,R23,C,H,O,H,10081
Question 28,Q25,C,H,O,H,8000
Result 28,R25,H,H,O,H,6758
