num_pre,file_order,T1,L1,B1,R1,time_pre,num_post,T2,L2,B2,R2,time_post
Question 1,Q9,C,-,N,O,8000,Question 11,C,-,N,O,8000
Result 1,R9,H,,,O,28294,Result 11,C,,N,O,9440
Question 2,Q6,N,-,N,N,4000,Question 3,N,-,N,N,4000
Result 2,R6,N,O,,,16041,Result 3,,,C,C,6880
Question 3,Q14,H,C,C,O,4000,Question 2,H,C,C,O,4000
Result 3,R14,H,C,,,11045,Result 2,H,,N,O,5720
Question 4,Q5,C,-,C,O,8000,Question 18,C,-,C,O,8000
Result 4,R5,C,H,N,O,16315,Result 18,N,,N,O,8640
Question 5,Q17,H,C,H,C,8000,Question 8,H,C,H,C,8000
Result 5,R17,H,H,H,H,14360,Result 8,H,C,H,C,10600
Question 6,Q23,C,H,N,H,8000,Question 17,C,H,N,H,8000
Result 6,R23,H,H,O,H,12721,Result 17,H,H,N,H,8960
Question 7,Q12,H,C,C,C,4000,Question 10,H,C,C,C,4000
Result 7,R12,H,H,H,H,11079,Result 10,C,,C,C,9680
Question 8,Q19,C,H,-,N,8000,Question 19,C,H,-,N,8000
Result 8,R19,H,H,,C,11121,Result 19,N,H,,C,8840
Question 9,Q3,C,-,C,N,8000,Question 24,C,-,C,N,8000
Result 9,R3,C,,C,C,13161,Result 24,C,,C,N,9121
Question 10,Q7,N,-,N,N,8000,Question 28,N,-,N,N,8000
Result 10,R7,N,,N,N,14479,Result 28,N,,N,N,9040
Question 11,Q8,C,-,N,O,4000,Question 27,C,-,N,O,4000
Result 11,R8,C,,,,5601,Result 27,C,,N,N,7239
Question 12,Q26,H,N,C,C,4000,Question 15,H,N,C,C,4000
Result 12,R26,H,,H,,7519,Result 15,H,N,H,H,5240
Question 13,Q22,C,H,N,H,4000,Question 13,C,H,N,H,4000
Result 13,R22,,H,C,H,8521,Result 13,,H,C,H,5240
Question 14,Q18,C,H,-,N,4000,Question 16,C,H,-,N,4000
Result 14,R18,,H,,N,7479,Result 16,C,H,,N,6640
Question 15,Q24,C,H,O,H,4000,Question 7,C,H,O,H,4000
Result 15,R24,,H,H,H,5400,Result 7,,H,C,H,6022
Question 16,Q4,C,-,C,O,4000,Question 1,C,-,C,O,4000
Result 16,R4,,,N,O,9360,Result 1,N,,N,O,10121
Question 17,Q21,C,H,H,H,8000,Question 6,C,H,H,H,8000
Result 17,R21,C,H,H,H,9401,Result 6,H,H,H,H,8000
Question 18,Q11,O,C,-,O,8000,Question 22,O,C,-,O,8000
Result 18,R11,,N,,O,9120,Result 22,O,N,,O,9001
Question 19,Q13,H,C,C,C,8000,Question 12,H,C,C,C,8000
Result 19,R13,H,H,H,H,8000,Result 12,H,C,C,C,8760
Question 20,Q15,H,C,C,O,8000,Question 9,H,C,C,O,8000
Result 20,R15,H,H,H,O,8480,Result 9,H,H,C,O,7600
Question 21,Q25,C,H,O,H,8000,Question 26,C,H,O,H,8000
Result 21,R25,C,H,O,H,10960,Result 26,C,H,N,H,8920
Question 22,Q16,H,C,H,C,4000,Question 4,H,C,H,C,4000
Result 22,R16,H,H,H,H,7760,Result 4,H,,H,C,7360
Question 23,Q2,C,-,C,N,4000,Question 20,C,-,C,N,4000
Result 23,R2,,,,N,7400,Result 20,,,N,N,6642
Question 24,Q10,O,C,-,O,4000,Question 25,O,C,-,O,4000
Result 24,R10,,C,,O,4921,Result 25,,C,,O,6719
Question 25,Q0,C,C,C,C,4000,Question 23,C,C,C,C,4000
Result 25,R0,,C,C,C,5959,Result 23,N,N,N,N,5680
Question 26,Q1,C,C,C,C,8000,Question 5,C,C,C,C,8000
Result 26,R1,,C,H,C,5761,Result 5,N,N,N,N,9401
Question 27,Q20,C,H,H,H,4000,Question 14,C,H,H,H,4000
Result 27,R20,H,H,H,H,6760,Result 14,C,H,H,H,5560
Question 28,Q27,H,N,C,C,4000,Question 21,H,N,C,C,4000
Result 28,R27,C,N,,,6359,Result 21,H,N,,C,6198
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
