num_pre,file_order,T1,L1,B1,R1,time_pre,num_post,T2,L2,B2,R2,time_post
Question 1,Q19,C,H,-,N,8000,Question 2,C,H,-,N,8000
Result 1,R19,N,,,O,54097,Result 2,C,H,,C,17841
Question 2,Q0,C,C,C,C,4000,,,,,,
Result 2,R0,H,H,,H,23681,,,,,,
Question 3,Q2,C,-,C,N,4000,,,,,,
Result 3,R2,,,,O,30241,,,,,,
Question 4,Q10,O,C,-,O,4000,,,,,,
Result 4,R10,,N,,O,13840,,,,,,
Question 5,Q14,H,C,C,O,4000,,,,,,
Result 5,R14,C,H,,O,16520,,,,,,
Question 6,Q3,C,-,C,N,8000,,,,,,
Result 6,R3,C,,,H,13159,,,,,,
Question 7,Q26,H,N,C,C,4000,,,,,,
Result 7,R26,N,H,,O,15681,,,,,,
Question 8,Q7,N,-,N,N,8000,,,,,,
Result 8,R7,H,H,,H,12201,,,,,,
Question 9,Q8,C,-,N,O,4000,,,,,,
Result 9,R8,C,H,,O,12159,,,,,,
Question 10,Q18,C,H,-,N,4000,Question 1,C,H,-,N,4000
Result 10,R18,C,H,,N,10560,Result 1,,,,,982912
Question 11,Q12,H,C,C,C,4000,,,,,,
Result 11,R12,C,H,,H,8161,,,,,,
Question 12,Q20,C,H,H,H,4000,,,,,,
Result 12,R20,H,H,,H,9119,,,,,,
Question 13,Q24,C,H,O,H,4000,,,,,,
Result 13,R24,C,H,,H,8000,,,,,,
Question 14,Q13,H,C,C,C,8000,,,,,,
Result 14,R13,H,C,,C,11599,,,,,,
Question 15,Q6,N,-,N,N,4000,,,,,,
Result 15,R6,,C,,,16001,,,,,,
Question 16,Q22,C,H,N,H,4000,,,,,,
Result 16,R22,,H,,,10081,,,,,,
Question 17,Q16,H,C,H,C,4000,,,,,,
Result 17,R16,H,,,,5959,,,,,,
Question 18,Q21,C,H,H,H,8000,Question 4,C,H,H,H,8000
Result 18,R21,C,H,,H,13641,Result 4,,,,,
Question 19,Q23,C,H,N,H,8000,,,,,,
Result 19,R23,C,H,,H,18160,,,,,,
Question 20,Q11,O,C,-,O,8000,,,,,,
Result 20,R11,O,H,,O,10320,,,,,,
Question 21,Q25,C,H,O,H,8000,,,,,,
Result 21,R25,C,H,,H,12800,,,,,,
Question 22,Q15,H,C,C,O,8000,,,,,,
Result 22,R15,C,H,,N,11041,,,,,,
Question 23,Q9,C,-,N,O,8000,,,,,,
Result 23,R9,,,,O,34080,,,,,,
Question 24,Q1,C,C,C,C,8000,,,,,,
Result 24,R1,H,H,,H,12121,,,,,,
Question 25,Q5,C,-,C,O,8000,Question 3,C,-,C,O,8000
Result 25,R5,H,,H,O,13600,Result 3,C,,C,O,13759
Question 26,Q27,H,N,C,C,4000,,,,,,
Result 26,R27,C,H,H,N,13080,,,,,,
Question 27,Q17,H,C,H,C,8000,,,,,,
Result 27,R17,H,H,H,C,20241,,,,,,
Question 28,Q4,C,-,C,O,4000,,,,,,
Result 28,R4,H,,H,N,10239,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
