num_pre,file_order,T1,L1,B1,R1,time_pre,num_post,T2,L2,B2,R2,time_post
Question 1,Q4,C,-,C,O,4000,Question 6,C,-,C,O,4000
Result 1,R4,H,-,N,O,13463,Result 6,N,-,N,O,10440
Question 2,Q24,C,H,O,H,4000,Question 22,C,H,O,H,4000
Result 2,R24,H,H,-,H,13755,Result 22,N,H,C,-,15442
Question 3,Q23,C,H,N,H,8000,Question 27,C,H,N,H,8000
Result 3,R23,-,H,H,H,20840,Result 27,C,H,N,H,19922
Question 4,Q5,C,-,C,O,8000,Question 8,C,-,C,H,8000
Result 4,R5,-,-,H,O,21521,Result 8,N,-,N,O,16639
Question 5,Q1,C,C,C,C,8000,Question 19,C,C,C,C,8000
Result 5,R1,-,H,H,-,9204,Result 19,C,C,C,C,18121
Question 6,Q18,C,H,-,N,4000,Question 13,C,H,-,N,4000
Result 6,R18,-,H,-,N,12115,Result 13,C,H,-,C,15438
Question 7,Q0,C,C,C,C,4000,Question 16,C,C,C,C,4000
Result 7,R0,-,H,H,H,9521,Result 16,C,C,C,C,13638
Question 8,Q13,H,C,C,C,8000,Question 3,H,C,C,C,8000
Result 8,R13,H,H,N,H,21120,Result 3,H,C,N,C,19561
Question 9,Q7,N,-,N,N,8000,Question 17,N,-,N,N,8000
Result 9,R7,O,-,O,O,10601,Result 17,N,-,N,N,11680
Question 10,Q6,N,-,N,N,4000,Question 11,N,-,N,N,4000
Result 10,R6,O,-,O,O,9320,Result 11,N,-,N,N,12720
Question 11,Q21,C,H,H,H,8000,Question 7,C,H,H,H,8000
Result 11,R21,N,H,H,H,17759,Result 7,C,H,H,H,17401
Question 12,Q20,C,H,H,H,4000,Question 4,C,H,H,H,4000
Result 12,R20,N,H,H,H,10521,Result 4,N,H,H,H,20001
Question 13,Q9,C,-,N,O,8000,Question 28,C,-,N,O,8000
Result 13,R9,C,-,O,O,10481,Result 28,C,-,N,O,18399
Question 14,Q26,H,N,C,C,4000,Question 21,H,N,C,C,4000
Result 14,R26,C,H,O,-,13519,Result 21,H,N,C,-,14961
Question 15,Q16,H,C,H,C,4000,Question 24,H,C,H,C,4000
Result 15,R16,H,H,N,-,13202,Result 24,H,C,H,C,19124
Question 16,Q11,O,C,-,O,8000,Question 12,O,C,-,O,8000
Result 16,R11,O,N,-,O,18840,Result 12,O,N,-,O,18843
Question 17,Q15,H,C,C,O,8000,Question 18,H,C,C,O,8000
Result 17,R15,N,N,C,O,13840,Result 18,H,C,C,N,19520
Question 18,Q3,C,-,C,N,8000,Question 1,C,-,C,N,8000
Result 18,R3,N,-,N,C,21320,Result 1,C,-,C,N,23480
Question 19,Q19,C,H,-,N,8000,Question 10,C,H,-,N,8000
Result 19,R19,C,H,-,N,15080,Result 10,C,H,-,C,16080
Question 20,Q2,C,-,C,N,4000,Question 5,C,-,C,N,4000
Result 20,R2,N,-,N,C,14720,Result 5,N,-,N,O,13160
Question 21,Q10,O,C,-,O,4000,Question 9,O,C,-,O,4000
Result 21,R10,N,N,-,O,10801,Result 9,-,C,-,O,12000
Question 22,Q27,H,N,C,C,4000,Question 25,H,N,C,C,4000
Result 22,R27,C,C,O,H,13000,Result 25,C,N,H,N,22800
Question 23,Q25,C,H,O,H,8000,Question 15,C,H,O,H,8000
Result 23,R25,C,H,N,H,14520,Result 15,C,H,N,H,19322
Question 24,Q8,C,-,N,O,4000,Question 2,C,-,N,O,4000
Result 24,R8,C,-,O,-,5520,Result 2,C,-,N,O,13480
Question 25,Q17,H,C,H,C,8000,Question 23,H,C,H,C,8000
Result 25,R17,H,N,H,N,15641,Result 23,H,C,H,C,21531
Question 26,Q12,H,C,C,C,4000,Question 14,H,C,C,C,4000
Result 26,R12,N,C,C,-,15960,Result 14,H,C,-,C,11041
Question 27,Q14,H,C,C,O,4000,Question 26,H,C,C,O,4000
Result 27,R14,C,-,N,O,16841,Result 26,C,C,N,O,18598
Question 28,Q22,C,H,N,H,4000,Question 20,C,H,N,H,4000
Result 28,R22,C,H,N,-,15719,Result 20,N,H,C,H,15879
