num_pre,file_order,T1,L1,B1,R1,time_pre
Question 1,Q15,H,C,C,O,8000
Result 1,R15,C,C,C,C,36939
Question 2,Q4,C,-,C,O,4000
Result 2,R4,H,,C,N,16442
Question 3,Q7,N,-,N,N,8000
Result 3,R7,C,,N,N,38639
Question 4,Q23,C,H,N,H,8000
Result 4,R23,H,H,N,C,21481
Question 5,Q16,H,C,H,C,4000
Result 5,R16,H,H,H,H,14640
Question 6,Q0,C,C,C,C,4000
Result 6,R0,N,N,N,N,12560
Question 7,Q1,C,C,C,C,8000
Result 7,R1,N,N,N,N,29640
Question 8,Q21,C,H,H,H,8000
Result 8,R21,H,H,H,H,7681
Question 9,Q9,C,-,N,O,8000
Result 9,R9,O,O,O,O,9599
Question 10,Q2,C,-,C,N,4000
Result 10,R2,C,,C,C,6961
Question 11,Q18,C,H,-,N,4000
Result 11,R18,C,H,,N,11359
Question 12,Q12,H,C,C,C,4000
Result 12,R12,C,C,H,C,13721
Question 13,Q17,H,C,H,C,8000
Result 13,R17,C,C,H,C,22161
Question 14,Q5,C,-,C,O,8000
Result 14,R5,N,,N,O,10280
Question 15,Q22,C,H,N,H,4000
Result 15,R22,,H,N,N,17879
Question 16,Q3,C,-,C,N,8000
Result 16,R3,N,,H,C,10400
Question 17,Q6,N,-,N,N,4000
Result 17,R6,N,,N,N,9482
Question 18,Q10,O,C,-,O,4000
Result 18,R10,,C,C,O,11839
Question 19,Q25,C,H,O,H,8000
Result 19,R25,C,H,O,H,9880
Question 20,Q24,C,H,O,H,4000
Result 20,R24,,H,H,,5801
Question 21,Q8,C,-,N,O,4000
Result 21,R8,C,,N,N,17360
Question 22,Q14,H,C,C,O,4000
Result 22,R14,H,C,C,O,8760
Question 23,Q27,H,N,C,C,4000
Result 23,R27,H,H,H,O,10720
Question 24,Q11,O,C,-,O,8000
Result 24,R11,O,H,C,O,14360
Question 25,Q26,H,N,C,C,4000
Result 25,R26,H,C,C,N,9241
Question 26,Q13,H,C,C,C,8000
Result 26,R13,H,C,N,N,13519
Question 27,Q20,C,H,H,H,4000
Result 27,R20,C,H,H,H,7721
Question 28,Q19,C,H,-,N,8000
Result 28,R19,C,H,,O,11919
