num_pre,file_order,T1,L1,B1,R1,time_pre
Question 1,Q8,C,-,N,O,4000
Result 1,R8,H,,C,,10826
Question 2,Q21,C,H,H,H,8000
Result 2,R21,C,H,H,H,12035
Question 3,Q26,H,N,C,C,4000
Result 3,R26,C,N,C,,12920
Question 4,Q11,O,C,-,O,8000
Result 4,R11,O,C,,O,15006
Question 5,Q25,C,H,O,H,8000
Result 5,R25,C,H,O,H,13074
Question 6,Q20,C,H,H,H,4000
Result 6,R20,C,H,H,H,11202
Question 7,Q6,N,-,N,N,4000
Result 7,R6,N,N,N,N,12320
Question 8,Q7,N,-,N,N,8000
Result 8,R7,C,C,C,C,14559
Question 9,Q2,C,-,C,N,4000
Result 9,R2,C,,C,C,9002
Question 10,Q4,C,-,C,O,4000
Result 10,R4,C,,C,O,10198
Question 11,Q9,C,-,N,O,8000
Result 11,R9,C,,N,O,11600
Question 12,Q24,C,H,O,H,4000
Result 12,R24,H,H,H,H,13801
Question 13,Q13,H,C,C,C,8000
Result 13,R13,H,,C,C,13400
Question 14,Q0,C,C,C,C,4000
Result 14,R0,C,,C,C,10962
Question 15,Q22,C,H,N,H,4000
Result 15,R22,,H,C,H,10999
Question 16,Q10,O,C,-,O,4000
Result 16,R10,,N,,O,10680
Question 17,Q23,C,H,N,H,8000
Result 17,R23,C,H,N,H,11160
Question 18,Q18,C,H,-,N,4000
Result 18,R18,N,H,,C,8681
Question 19,Q16,H,C,H,C,4000
Result 19,R16,H,H,H,,9200
Question 20,Q15,H,C,C,O,8000
Result 20,R15,H,C,C,O,10320
Question 21,Q17,H,C,H,C,8000
Result 21,R17,H,C,H,C,12040
Question 22,Q12,H,C,C,C,4000
Result 22,R12,H,C,C,,10361
Question 23,Q14,H,C,C,O,4000
Result 23,R14,C,,C,O,10919
Question 24,Q1,C,C,C,C,8000
Result 24,R1,C,C,C,C,11841
Question 25,Q5,C,-,C,O,8000
Result 25,R5,C,,C,O,8119
Question 26,Q3,C,-,C,N,8000
Result 26,R3,N,,N,C,8000
Question 27,Q19,C,H,-,N,8000
Result 27,R19,C,H,C,C,11481
Question 28,Q27,H,N,C,C,4000
Result 28,R27,,,,,14240
