num_pre,file_order,T1,L1,B1,R1,time_pre,num_post,T2,L2,B2,R2,time_post
Question 1,Q24,C,H,O,H,4000,Question 3,C,H,O,H,4000
Result 1,R24,H,H,H,H,53861,Result 3,H,H,H,H,9560
Question 2,Q23,C,H,N,H,8000,Question 28,C,H,N,H,8000
Result 2,R23,N,H,N,H,32556,Result 28,N,H,C,H,8520
Question 3,Q19,C,H,-,N,8000,Question 21,C,H,-,N,8000
Result 3,R19,C,H,,N,15961,Result 21,C,H,,N,8640
Question 4,Q5,C,-,C,O,8000,Question 5,C,-,C,O,8000
Result 4,R5,C,,,O,12441,Result 5,C,,C,N,10520
Question 5,Q17,H,C,H,C,8000,Question 24,H,C,H,C,8000
Result 5,R17,H,C,,C,18120,Result 24,H,C,H,H,8881
Question 6,Q2,C,-,C,N,4000,Question 19,C,-,C,N,4000
Result 6,R2,O,,,N,11240,Result 19,C,,,N,5600
Question 7,Q27,H,N,C,C,4000,Question 17,H,N,C,C,4000
Result 7,R27,C,C,C,C,13161,Result 17,H,N,C,C,6202
Question 8,Q6,N,-,N,N,4000,Question 18,N,-,N,N,4000
Result 8,R6,N,,O,O,10280,Result 18,,,N,N,5360
Question 9,Q15,H,C,C,O,8000,Question 13,H,C,C,O,8000
Result 9,R15,C,N,C,O,20680,Result 13,C,H,C,N,9119
Question 10,Q14,H,C,C,O,4000,Question 2,H,C,C,O,4000
Result 10,R14,C,,C,O,9560,Result 2,C,,N,O,11160
Question 11,Q9,C,-,N,O,8000,Question 14,C,-,N,O,8000
Result 11,R9,C,,N,N,13240,Result 14,C,,N,O,9640
Question 12,Q7,N,-,N,N,8000,Question 27,N,-,N,N,8000
Result 12,R7,,,O,N,12359,Result 27,N,,N,N,8719
Question 13,Q22,C,H,N,H,4000,Question 16,C,H,N,H,4000
Result 13,R22,,H,C,H,9361,Result 16,C,H,N,H,7479
Question 14,Q21,C,H,H,H,8000,Question 15,C,H,H,H,8000
Result 14,R21,H,H,H,H,11440,Result 15,C,H,H,H,8641
Question 15,Q3,C,-,C,N,8000,Question 7,C,-,C,N,8000
Result 15,R3,N,,N,N,12280,Result 7,C,,C,C,8960
Question 16,Q0,C,C,C,C,4000,Question 20,C,C,C,C,4000
Result 16,R0,,N,N,N,10081,Result 20,,H,H,H,4959
Question 17,Q20,C,H,H,H,4000,Question 1,C,H,H,H,4000
Result 17,R20,C,,H,H,9000,Result 1,N,C,N,N,28680
Question 18,Q11,O,C,-,O,8000,Question 26,O,C,-,O,8000
Result 18,R11,O,N,,O,11520,Result 26,O,C,,O,10521
Question 19,Q25,C,H,O,H,8000,Question 10,C,H,O,H,8000
Result 19,R25,N,C,O,C,12520,Result 10,C,H,N,H,8760
Question 20,Q12,H,C,C,C,4000,Question 25,H,C,C,C,4000
Result 20,R12,C,,C,C,9880,Result 25,H,C,C,C,5880
Question 21,Q16,H,C,H,C,4000,Question 22,H,C,H,C,4000
Result 21,R16,,C,H,C,7321,Result 22,,C,H,C,7361
Question 22,Q1,C,C,C,C,8000,Question 8,C,C,C,C,8000
Result 22,R1,,N,N,N,10160,Result 8,H,H,H,H,9761
Question 23,Q13,H,C,C,C,8000,Question 23,H,C,C,C,8000
Result 23,R13,N,N,N,N,32441,Result 23,H,C,C,C,9279
Question 24,Q26,H,N,C,C,4000,Question 6,H,N,C,C,4000
Result 24,R26,N,N,O,N,15320,Result 6,C,C,C,C,8119
Question 25,Q18,C,H,-,N,4000,Question 11,C,H,-,N,4000
Result 25,R18,N,H,N,N,9759,Result 11,C,H,,C,6240
Question 26,Q4,C,-,C,O,4000,Question 12,C,-,C,O,4000
Result 26,R4,,,N,O,7601,Result 12,C,,C,N,6161
Question 27,Q10,O,C,-,O,4000,Question 4,O,C,-,O,4000
Result 27,R10,,N,,O,6801,Result 4,,N,,O,8120
Question 28,Q8,C,-,N,O,4000,Question 9,C,-,N,O,4000
Result 28,R8,N,,O,O,6799,Result 9,C,,N,N,5080
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
