num_pre,file_order,T1,L1,B1,R1,time_pre,num_post,T2,L2,B2,R2,time_post
Question 1,Q13,H,C,C,C,8000,,,,,,
Result 1,R13,,,,,2005,,,,,,
Question 2,Q26,H,N,C,C,4000,,,,,,
Result 2,R26,,,,,279,,,,,,
Question 3,Q2,C,-,C,N,4000,,,,,,
Result 3,R2,,,,,163,,,,,,
Question 4,Q11,O,C,-,O,8000,Question 6,O,C,-,O,8000
Result 4,R11,,,,,322,Result 6,,,,,
Question 5,Q27,H,N,C,C,4000,,,,,,
Result 5,R27,,,,,1039,,,,,,
Question 6,Q6,N,-,N,N,4000,,,,,,
Result 6,R6,,,,,157,,,,,,
Question 7,Q18,C,H,-,N,4000,,,,,,
Result 7,R18,,,,,243,,,,,,
Question 8,Q24,C,H,O,H,4000,,,,,,
Result 8,R24,,,,,198,,,,,,
Question 9,Q5,C,-,C,O,8000,Question 1,C,-,C,O,8000
Result 9,R5,,,,,242,Result 1,,,,,960
Question 10,Q9,C,-,N,O,8000,,,,,,
Result 10,R9,,,,,240,,,,,,
Question 11,Q14,H,C,C,O,4000,,,,,,
Result 11,R14,,,,,641,,,,,,
Question 12,Q3,C,-,C,N,8000,,,,,,
Result 12,R3,,,,,277,,,,,,
Question 13,Q16,H,C,H,C,4000,Question 3,H,C,H,C,4000
Result 13,R16,,,,,196,Result 3,,,,,398
Question 14,Q25,C,H,O,H,8000,,,,,,
Result 14,R25,,,,,286,,,,,,
Question 15,Q0,H,C,C,C,4000,,,,,,
Result 15,R0,,,,,159,,,,,,
Question 16,Q4,C,-,C,O,4000,Question 2,C,-,C,O,4000
Result 16,R4,,,,,320,Result 2,,,,,481
Question 17,Q22,C,H,N,H,4000,,,,,,
Result 17,R22,,,,,317,,,,,,
Question 18,Q1,H,C,C,C,8000,,,,,,
Result 18,R1,,,,,484,,,,,,
Question 19,Q7,N,-,N,N,8000,,,,,,
Result 19,R7,,,,,316,,,,,,
Question 20,Q20,C,H,H,H,4000,Question 4,C,H,H,H,4000
Result 20,R20,,,,,159,Result 4,,,,,436
Question 21,Q12,H,C,C,C,4000,Question 5,H,C,C,C,4000
Result 21,R12,,,,,164,Result 5,,,,,362
Question 22,Q8,C,-,N,O,4000,,,,,,
Result 22,R8,,,,,159,,,,,,
Question 23,Q21,C,H,H,H,8000,,,,,,
Result 23,R21,,,,,160,,,,,,
Question 24,Q19,C,H,-,N,8000,,,,,,
Result 24,R19,,,,,518,,,,,,
Question 25,Q15,H,C,C,O,8000,,,,,,
Result 25,R15,,,,,522,,,,,,
Question 26,Q23,C,H,N,H,8000,,,,,,
Result 26,R23,,,,,718,,,,,,
Question 27,Q17,H,C,H,C,8000,,,,,,
Result 27,R17,,,,,400,,,,,,
Question 28,Q10,O,C,-,O,4000,,,,,,
Result 28,R10,,,,,1520,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
