num_pre,file_order,T1,L1,B1,R1,time_pre
Question 1,Q6,N,-,N,N,4000
Result 1,R6,,,,N,10340
Question 2,Q14,H,C,C,O,4000
Result 2,R14,H,H,H,H,18882
Question 3,Q18,C,H,-,N,4000
Result 3,R18,C,H,,N,7438
Question 4,Q24,C,H,O,H,4000
Result 4,R24,,H,H,H,5322
Question 5,Q22,C,H,N,H,4000
Result 5,R22,H,H,N,C,8758
Question 6,Q23,C,H,N,H,8000
Result 6,R23,C,H,C,H,9085
Question 7,Q10,O,C,-,O,4000
Result 7,R10,N,N,N,O,9517
Question 8,Q16,H,C,H,C,4000
Result 8,R16,H,C,H,C,8880
Question 9,Q13,H,C,C,C,8000
Result 9,R13,H,C,H,C,15759
Question 10,Q2,C,-,C,N,4000
Result 10,R2,N,,N,O,8160
Question 11,Q3,C,-,C,N,8000
Result 11,R3,N,,N,O,9441
Question 12,Q11,O,C,-,O,8000
Result 12,R11,O,N,,O,11161
Question 13,Q9,C,-,N,O,8000
Result 13,R9,N,,N,O,10280
Question 14,Q20,C,H,H,H,4000
Result 14,R20,C,H,H,H,9159
Question 15,Q15,H,C,C,O,8000
Result 15,R15,H,C,C,N,11880
Question 16,Q1,C,C,C,C,8000
Result 16,R1,C,C,C,C,13082
Question 17,Q21,C,H,H,H,8000
Result 17,R21,C,H,H,H,11519
Question 18,Q12,H,C,C,C,4000
Result 18,R12,H,C,C,C,7600
Question 19,Q26,H,N,C,C,4000
Result 19,R26,H,N,H,C,10280
Question 20,Q25,C,H,O,H,8000
Result 20,R25,C,H,N,H,12841
Question 21,Q17,H,C,H,C,8000
Result 21,R17,H,C,H,C,10279
Question 22,Q5,C,-,C,O,8000
Result 22,R5,N,,N,O,12201
Question 23,Q27,H,N,C,C,4000
Result 23,R27,H,N,C,C,11519
Question 24,Q7,N,-,N,N,8000
Result 24,R7,N,,N,N,12401
Question 25,Q4,C,-,C,O,4000
Result 25,R4,N,,C,O,13121
Question 26,Q0,C,C,C,C,4000
Result 26,R0,C,C,C,C,9440
Question 27,Q19,C,H,-,N,8000
Result 27,R19,C,H,,N,10360
Question 28,Q8,C,-,N,O,4000
Result 28,R8,N,,N,O,12119
